id,tên,loại,thành phần,option,option_json,canonical_description,structured_tags,health_profile,context_suitability,
1,café đen,thức uống,"café, đá, đường","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Café đen là thức uống từ café nguyên chất, vị đắng mạnh và caffein cao. Phù hợp người cần tỉnh táo hoặc người tiểu đường khi không thêm đường; không phù hợp người dạ dày yếu hoặc dễ mất ngủ.","{""type"":""thức uống"",""taste"":[""bitter""],""ingredients"":[""café"",""đá"",""đường""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""caffeine"":""cao"",""suitable_for"":[""diabetes""],""avoid_for"":[""weak_stomach"",""gastritis"",""heart_disease"",""insomnia""]}","{""good_for"":[""diabetes""],""bad_for"":[""weak_stomach"",""gastritis"",""heart_disease""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":true,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
2,bún thịt nướng,đồ ăn,"bún, nem rán, thịt nướng, rau, nước mắm","nem rán (thêm/ít), thịt (thêm/ít), rau (nhiều/ít/không), nước mắm (cay/không cay)","{""nem_rán"": [""thêm"", ""ít""], ""thịt"": [""thêm"", ""ít""], ""rau"": [""nhiều"", ""ít"", ""không""], ""nước_mắm"": [""cay"", ""không cay""]}","Bún thịt nướng là món ăn khô gồm bún, thịt nướng và nước mắm pha, vị mặn ngọt đậm đà. Không phù hợp người cao huyết áp, béo phì hoặc gan nhiễm mỡ do hàm lượng natri và chất béo cao.","{""type"":""đồ ăn"",""taste"":[""salty"",""sweet""],""ingredients"":[""bún"",""nem rán"",""thịt nướng"",""rau"",""nước mắm""],""options"":[""nem rán (thêm/ít)"",""thịt (thêm/ít)"",""rau (nhiều/ít/không)"",""nước mắm (cay/không cay)""],""suitable_for"":[],""avoid_for"":[""high_blood_pressure"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""good_for"":[],""bad_for"":[""high_blood_pressure"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
3,cháo thịt bằm,đồ ăn,"cháo, thịt bằm, hành, tiêu, ớt","thịt (nhiều/ít), hành (nhiều/ít/không), tiêu (có/không), ớt (có/không)","{""thịt"": [""nhiều"", ""ít""], ""hành"": [""nhiều"", ""ít"", ""không""], ""tiêu"": [""có"", ""không""], ""ớt"": [""có"", ""không""]}",Cháo thịt bằm là món nóng dễ tiêu với vị mặn nhẹ và thơm hành. Phù hợp cho người dạ dày yếu hoặc cần món nhẹ buổi sáng; không phù hợp người cao huyết áp nếu thêm nhiều muối hoặc ăn quá mặn.,"{""type"":""đồ ăn"",""taste"":[""salty""],""ingredients"":[""cháo"",""thịt bằm"",""hành"",""tiêu"",""ớt""],""options"":[""thịt (nhiều/ít)"",""hành (nhiều/ít/không)"",""tiêu (có/không)"",""ớt (có/không)""],""suitable_for"":[""weak_stomach"",""indigestion"",""poor_digestive_system""],""avoid_for"":[""high_blood_pressure"",""gastritis"",""colitis""]}","{""good_for"":[""weak_stomach"",""indigestion"",""poor_digestive_system""],""bad_for"":[""high_blood_pressure"",""gastritis"",""colitis""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":false,""with_friends"":false,""need_relax"":true,""portable"":false,""short_lunch_break"":true}",
4,trà vải lài,thức uống,"trà lài, vải, đường","trà (nhiều/ít), đường (nhiều/ít)","{""trà"": [""nhiều"", ""ít""], ""đường"": [""nhiều"", ""ít""]}","Trà vải lài là thức uống thanh mát, ngọt nhẹ và thơm hương lài. Phù hợp khi trời nóng hoặc cần giải khát; không phù hợp người tiểu đường nếu dùng nhiều đường.","{""type"":""thức uống"",""taste"":[""sweet"",""sour""],""ingredients"":[""trà lài"",""vải"",""đường""],""options"":[""trà (nhiều/ít)"",""đường (nhiều/ít)""],""suitable_for"":[""hot_weather"",""need_relax""],""avoid_for"":[""diabetes""]}","{""good_for"":[""hot_weather""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
5,sinh tố bơ sữa đặc,thức uống,"bơ, sữa đặc, đá, đường","đá (nhiều/ít/không), đường (nhiều/ít), sữa đặc (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""], ""sữa_đặc"": [""nhiều"", ""ít""]}","Sinh tố bơ sữa đặc là thức uống béo ngọt và đặc sánh, giàu calo. Không phù hợp người tiểu đường, béo phì hoặc gan nhiễm mỡ do hàm lượng đường và chất béo cao.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty""],""ingredients"":[""bơ"",""sữa đặc"",""đá"",""đường""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít)"",""sữa đặc (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
6,phở,đồ ăn,"bánh phở, thịt bò/gà, hành, rau","phở (nhiều/ít), thịt bò (nhiều/ít), thịt gà (nhiều/ít), hành (nhiều/ít/không), rau (nhiều/ít/không)","{""phở"": [""nhiều"", ""ít""], ""thịt_bò"": [""nhiều"", ""ít""], ""thịt_gà"": [""nhiều"", ""ít""], ""hành"": [""nhiều"", ""ít"", ""không""], ""rau"": [""nhiều"", ""ít"", ""không""]}","Phở là món nước nóng thanh nhẹ với bánh phở, thịt bò hoặc gà và nước dùng thơm. Phù hợp buổi sáng hoặc khi cần món dễ tiêu; không phù hợp người cao huyết áp nếu nước dùng mặn hoặc nhiều chất béo.","{""type"":""đồ ăn"",""taste"":[""salty"",""umami""],""ingredients"":[""bánh phở"",""thịt bò/gà"",""hành"",""rau""],""options"":[""phở (nhiều/ít)"",""thịt bò (nhiều/ít)"",""thịt gà (nhiều/ít)"",""hành (nhiều/ít/không)"",""rau (nhiều/ít/không)""],""suitable_for"":[""weak_stomach"",""indigestion"",""poor_digestive_system""],""avoid_for"":[""high_blood_pressure"",""fatty_liver"",""high_cholesterol""]}","{""good_for"":[""weak_stomach"",""indigestion"",""poor_digestive_system""],""bad_for"":[""high_blood_pressure"",""fatty_liver"",""high_cholesterol""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
7,cơm gà xối mỡ,đồ ăn,"cơm, gà xối mỡ, dầu hành, nước mắm","thịt gà (nhiều/ít), hành (nhiều/ít/không)","{""thịt_gà"": [""nhiều"", ""ít""], ""hành"": [""nhiều"", ""ít"", ""không""]}","Cơm gà xối mỡ là món chiên béo, giòn và đậm vị. Không phù hợp người cao huyết áp, béo phì hoặc gan nhiễm mỡ do hàm lượng dầu mỡ và natri cao.","{""type"":""đồ ăn"",""taste"":[""salty"",""fatty""],""ingredients"":[""cơm"",""gà xối mỡ"",""dầu hành"",""nước mắm""],""options"":[""thịt gà (nhiều/ít)"",""hành (nhiều/ít/không)""],""suitable_for"":[],""avoid_for"":[""high_blood_pressure"",""obesity"",""fatty_liver"",""high_cholesterol"",""gastritis""]}","{""good_for"":[],""bad_for"":[""high_blood_pressure"",""obesity"",""fatty_liver"",""high_cholesterol"",""gastritis""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
8,chè thập cẩm,đồ ăn,"thạch, nước cốt dừa, đậu, đường","thạch (nhiều/ít), đường (nhiều/ít), nước cốt dừa (nhiều/ít/không)","{""thạch"": [""nhiều"", ""ít""], ""đường"": [""nhiều"", ""ít""], ""nước_cốt_dừa"": [""nhiều"", ""ít"", ""không""]}","Chè thập cẩm là món tráng miệng ngọt béo, mát lạnh và nhiều năng lượng. Không phù hợp người tiểu đường, béo phì hoặc gan nhiễm mỡ do chứa nhiều đường và nước cốt dừa.","{""type"":""đồ ăn"",""taste"":[""sweet"",""fatty""],""ingredients"":[""thạch"",""nước cốt dừa"",""đậu"",""đường""],""options"":[""thạch (nhiều/ít)"",""đường (nhiều/ít)"",""nước cốt dừa (nhiều/ít/không)""],""suitable_for"":[""hot_weather""],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[""hot_weather""],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
9,cơm gà xé,đồ ăn,"cơm, gà luộc, hành tây, cà rốt","thịt gà (nhiều/ít), hành tây (nhiều/ít/không), cà rốt (nhiều/ít/không)","{""thịt_gà"": [""nhiều"", ""ít""], ""hành_tây"": [""nhiều"", ""ít"", ""không""], ""cà_rốt"": [""nhiều"", ""ít"", ""không""]}","Cơm gà xé là món cơm gà nhẹ hơn kiểu xối mỡ, ít dầu mỡ và dễ ăn. Phù hợp người cần bữa ăn vừa phải; không phù hợp người cao huyết áp nếu dùng nhiều nước mắm mặn.","{""type"":""đồ ăn"",""taste"":[""salty""],""ingredients"":[""cơm"",""gà luộc"",""hành tây"",""cà rốt""],""options"":[""thịt gà (nhiều/ít)"",""hành tây (nhiều/ít/không)"",""cà rốt (nhiều/ít/không)""],""suitable_for"":[""light_meal""],""avoid_for"":[""high_blood_pressure""]}","{""good_for"":[""light_meal""],""bad_for"":[""high_blood_pressure""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
10,hột vịt luộc,đồ ăn,"hột vịt luộc, rau thơm",rau thơm (nhiều/ít/không),"{""rau_thơm"": [""nhiều"", ""ít"", ""không""]}","Hột vịt luộc là món đơn giản, giàu đạm và dễ ăn. Phù hợp bữa nhanh gọn; không phù hợp người cholesterol cao hoặc gout.","{""type"":""đồ ăn"",""taste"":[""salty""],""ingredients"":[""hột vịt luộc"",""rau thơm""],""options"":[""rau thơm (nhiều/ít/không)""],""suitable_for"":[""light_meal""],""avoid_for"":[""high_cholesterol"",""gout""]}","{""good_for"":[""light_meal""],""bad_for"":[""high_cholesterol"",""gout""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":true,""post_work"":false,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":false,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
